date,supply_petroleum,supply_motorgas
21-Aug-98,19532,8288
28-Aug-98,19917,8607
4-Sep-98,18801,8713
11-Sep-98,18909,8722
18-Sep-98,18467,7873
25-Sep-98,18653,8359
2-Oct-98,18539,8058
9-Oct-98,19555,8797
16-Oct-98,17961,8049
23-Oct-98,17954,8099
30-Oct-98,19196,8360
6-Nov-98,17950,8195
13-Nov-98,19601,7711
20-Nov-98,18827,8381
27-Nov-98,18703,8313
4-Dec-98,17206,8162
11-Dec-98,18422,8314
18-Dec-98,19974,8588
25-Dec-98,19450,8153
1-Jan-99,19550,8519
8-Jan-99,18181,7385
15-Jan-99,19284,7810
22-Jan-99,19266,8186
29-Jan-99,18268,7866
5-Feb-99,18492,7532
12-Feb-99,19402,8756
19-Feb-99,18379,7948
26-Feb-99,19730,8316
5-Mar-99,19172,8273
12-Mar-99,19049,8451
19-Mar-99,18730,8367
26-Mar-99,19191,8337
2-Apr-99,18149,7959
9-Apr-99,17225,7878
16-Apr-99,19521,8066
23-Apr-99,18792,8923
30-Apr-99,18025,7825
7-May-99,18527,8059
14-May-99,17424,8761
21-May-99,18721,8275
28-May-99,18889,8401
4-Jun-99,19246,8193
11-Jun-99,19103,8827
18-Jun-99,19484,8522
25-Jun-99,19539,9045
2-Jul-99,19416,9076
9-Jul-99,17972,8679
16-Jul-99,19338,8622
23-Jul-99,19670,8639
30-Jul-99,19483,8537
6-Aug-99,19870,8644
13-Aug-99,19701,8519
20-Aug-99,19443,8415
27-Aug-99,19603,8810
3-Sep-99,19853,8778
10-Sep-99,19344,8593
17-Sep-99,19267,8504
24-Sep-99,19037,8865
1-Oct-99,19646,8557
8-Oct-99,19488,8433
15-Oct-99,19980,8406
22-Oct-99,19783,8521
29-Oct-99,19803,8532
5-Nov-99,19974,8333
12-Nov-99,20383,8416
19-Nov-99,19799,8404
26-Nov-99,19115,8416
3-Dec-99,19552,7670
10-Dec-99,19723,8557
17-Dec-99,19124,8638
24-Dec-99,20288,8590
31-Dec-99,20293,8851
7-Jan-00,19363,7907
14-Jan-00,18222,7543
21-Jan-00,19116,7919
28-Jan-00,19899,8385
4-Feb-00,19123,7642
11-Feb-00,19206,8375
18-Feb-00,19438,8524
25-Feb-00,19169,8072
3-Mar-00,17933,7608
10-Mar-00,19995,8662
17-Mar-00,19022,8201
24-Mar-00,19284,8384
31-Mar-00,18862,7896
7-Apr-00,18556,8655
14-Apr-00,19672,8557
21-Apr-00,18735,8616
28-Apr-00,18842,8302
5-May-00,19378,8679
12-May-00,18932,8242
19-May-00,19990,8408
26-May-00,19458,9075
2-Jun-00,18817,8863
9-Jun-00,19345,8403
16-Jun-00,19965,8895
23-Jun-00,19740,8475
30-Jun-00,19746,8620
7-Jul-00,19135,8519
14-Jul-00,20022,8844
21-Jul-00,19268,8361
28-Jul-00,20143,8614
4-Aug-00,20341,8759
11-Aug-00,20464,8813
18-Aug-00,19394,8786
25-Aug-00,20226,8960
1-Sep-00,19776,8644
8-Sep-00,20320,8573
15-Sep-00,20133,8814
22-Sep-00,20318,8153
29-Sep-00,19558,7819
6-Oct-00,18974,8340
13-Oct-00,20289,8663
20-Oct-00,20436,8604
27-Oct-00,20217,8942
3-Nov-00,20499,8780
